group,label,f_gait_hz,T_gait_s,T_gait_steps,f_peak_vx_hz,fz_fv_ratio,gait_type,duration_s,freq_resolution_hz
other,M=10_1302491059,1.1111111111111112,0.8999999999999999,44.99999999999999,1.1111111111111112,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=10_1315706754,1.0555555555555556,0.9473684210526315,47.368421052631575,1.0555555555555556,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=10_27294405,1.611111111111111,0.6206896551724138,31.03448275862069,0.8333333333333333,1.9333333333333333,CHECK: z may track half-strides,18.0,0.05555555555555555
other,M=10_68914096,0.7222222222222222,1.3846153846153846,69.23076923076923,0.7222222222222222,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=160_1042351053,1.3333333333333333,0.75,37.5,1.3333333333333333,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=160_2126766829,1.0555555555555556,0.9473684210526315,47.368421052631575,1.0555555555555556,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=160_576310242,1.3888888888888888,0.72,36.0,1.3888888888888888,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=160_602647351,1.4444444444444444,0.6923076923076923,34.61538461538461,1.4444444444444444,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=160_756800567,1.4444444444444444,0.6923076923076923,34.61538461538461,1.4444444444444444,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=1_1295751242,1.1111111111111112,0.8999999999999999,44.99999999999999,1.1111111111111112,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=1_1396289849,0.8888888888888888,1.125,56.25,0.8888888888888888,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=1_489225843,0.9444444444444444,1.0588235294117647,52.94117647058823,0.9444444444444444,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=1_860896728,1.3333333333333333,0.75,37.5,1.3333333333333333,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=20_1853697842,1.4444444444444444,0.6923076923076923,34.61538461538461,1.4444444444444444,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=20_1919632181,0.7222222222222222,1.3846153846153846,69.23076923076923,0.7222222222222222,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=20_641049713,1.0555555555555556,0.9473684210526315,47.368421052631575,1.0555555555555556,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=20_685059270,0.9444444444444444,1.0588235294117647,52.94117647058823,0.9444444444444444,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
