site,group,network,cell,M,T_gait_steps,retention,retention_flagged,conv_ratio,fraction_converged,v_pre,v_post,dW_early,dW_late,mean_reward,final_upright,fallen_fraction,retention_phase_range
RL hip,M=10,689362957,baseline,10,27.2727,1.006,0,1.01638,0.2,0.606653,0.611005,1.25039,1.26922,0.0161512,0.974656,0,0.0909937
RL hip,M=10,689362957,freeze_only,10,27.2727,-0.0001027,0,,0,0.613716,-6.02075e-05,0,0,0.010553,-0.0254593,0.65,0.0470254
RL hip,M=10,689362957,lock_only,10,27.2727,0.797189,0,0.967116,0.35,0.614461,0.483275,1.27125,1.23214,0.0146268,0.983627,0,0.0968445
RL hip,M=10,689362957,both,10,27.2727,-0.000858414,0,,0,0.604473,-0.000508364,0,0,0.0107423,0.8837,0.35,0.0284221
RL hip,M=20,1853697842,baseline,20,34.615,0.995479,0,1.01969,0,0.717236,0.714106,1.00487,1.02452,0.0187559,0.99031,0,0.0120214
RL hip,M=20,1853697842,freeze_only,20,34.615,-0.000125082,0,,0,0.716409,-8.94188e-05,0,0,0.0117332,-0.0649132,0.75,0.202599
RL hip,M=20,1853697842,lock_only,20,34.615,0.769876,0,0.990678,0.2,0.716852,0.552694,0.981449,0.97302,0.0172522,0.99032,0,0.0253703
RL hip,M=20,1853697842,both,20,34.615,-6.12087e-05,0,,0,0.717752,-4.36074e-05,0,0,0.0117739,-0.998786,0.75,0.114458
RL hip,M=20,685059270,baseline,20,52.941,0.983131,0,0.995934,0,0.683287,0.673287,0.695814,0.691854,0.0177963,0.951779,0,0.0393057
RL hip,M=20,685059270,freeze_only,20,52.941,0.000614008,0,,0,0.683017,0.000415545,0,0,0.0115127,-0.151142,0.6,0.152777
RL hip,M=20,685059270,lock_only,20,52.941,0.000874618,0,0.66368,1,0.685466,0.000589559,0.684212,0.474943,0.0115575,0.692585,0.45,0.22988
RL hip,M=20,685059270,both,20,52.941,-6.12894e-05,0,,0,0.687877,-4.21593e-05,0,0,0.0113546,0.69397,0.45,0.142994
RL hip,M=20,1919632181,baseline,20,69.23,1.00806,0,1.02189,0.2,0.586981,0.594468,0.773631,0.788361,0.0169522,0.985232,0,0.0932187
RL hip,M=20,1919632181,freeze_only,20,69.23,0.0336599,0,,0,0.588422,0.0193416,0,0,0.0114104,0.953572,0.45,0.259749
RL hip,M=20,1919632181,lock_only,20,69.23,0.447209,0,0.83726,0.65,0.588206,0.267113,0.791189,0.657745,0.014074,0.992811,0.2,0.48259
RL hip,M=20,1919632181,both,20,69.23,0.10856,0,,0,0.588071,0.0635385,0,0,0.0121244,0.965889,0.25,0.373453
RL hip,M=20,641049713,baseline,20,47.368,0.982418,0,0.996578,0,0.60461,0.596077,0.805851,0.801084,0.0166497,0.979463,0,0.0262767
RL hip,M=20,641049713,freeze_only,20,47.368,0.000189078,0,,0,0.608827,0.00011182,0,0,0.010841,-0.998822,0.8,0.00177678
RL hip,M=20,641049713,lock_only,20,47.368,0.146967,0,0.835364,0.6,0.600712,0.0125638,0.781375,0.645484,0.0118965,-0.092185,0.6,0.515761
RL hip,M=20,641049713,both,20,47.368,-0.000650106,0,,0,0.599586,-0.0003865,0,0,0.0107132,-0.998974,0.85,0.0172505
RL hip,M=20,1298619277,baseline,20,89.999,0.991025,0,1.05541,0,0.72218,0.716784,0.874947,0.922866,0.0181227,0.983942,0,0.0452937
RL hip,M=20,1298619277,freeze_only,20,89.999,0.000251733,0,,0,0.719685,0.000187988,0,0,0.0116712,-0.162381,0.65,0.0150827
RL hip,M=20,1298619277,lock_only,20,89.999,0.678956,0,0.962326,0.4,0.72127,0.494161,0.869887,0.836946,0.0157697,0.960973,0.15,0.166978
RL hip,M=20,1298619277,both,20,89.999,-3.44459e-06,0,,0,0.724582,-2.71316e-06,0,0,0.0117284,0.532139,0.5,0.0802796
RL hip,M=160,576310242,baseline,160,36,0.995464,0,1.01561,0,0.792432,0.789651,0.129129,0.132186,0.0196116,0.993876,0,0.0100087
RL hip,M=160,576310242,freeze_only,160,36,0.988289,0,,0,0.79392,0.782603,0,0,0.0195429,0.997222,0,0.0132479
RL hip,M=160,576310242,lock_only,160,36,-0.000207421,0,0.738823,1,0.791615,-0.000163276,0.125023,0.0963899,0.0126482,-1,1,0.000363686
RL hip,M=160,576310242,both,160,36,-0.000121532,0,,0,0.791875,-9.57738e-05,0,0,0.0126169,-0.999573,1,0.000971418
RL hip,M=160,756800567,baseline,160,34.615,1.00279,0,1.0047,0,0.79591,0.798094,0.108221,0.108889,0.0196983,0.982863,0,0.00723267
RL hip,M=160,756800567,freeze_only,160,34.615,0.866007,0,,0,0.795601,0.688381,0,0,0.0180166,0.963611,0,0.487493
RL hip,M=160,756800567,lock_only,160,34.615,0.210975,0,0.761315,1,0.796451,0.167675,0.105065,0.0818936,0.0130279,0.941271,0.25,0.187499
RL hip,M=160,756800567,both,160,34.615,0.000927705,0,,0,0.796956,0.000740363,0,0,0.0125139,-1,0.7,0.119541
RL hip,M=160,1042351053,baseline,160,37.5,0.998524,0,1.01456,0,0.777205,0.775792,0.140022,0.141984,0.0191062,0.991194,0,0.0163341
RL hip,M=160,1042351053,freeze_only,160,37.5,0.98315,0,,0,0.776454,0.765463,0,0,0.0188584,0.993091,0,0.029523
RL hip,M=160,1042351053,lock_only,160,37.5,0.592516,0,0.842801,1,0.776018,0.46025,0.138669,0.116792,0.0156853,0.981891,0,0.0135752
RL hip,M=160,1042351053,both,160,37.5,0.603303,0,,0,0.775364,0.467246,0,0,0.0157396,0.986878,0,0.0261474
RL hip,M=160,2126766829,baseline,160,47.368,0.994415,0,0.987123,0,0.615538,0.613853,0.0972559,0.0946804,0.0165527,0.993408,0,0.0431107
RL hip,M=160,2126766829,freeze_only,160,47.368,0.992551,0,,0,0.614945,0.608317,0,0,0.0163714,0.987056,0,0.20552
RL hip,M=160,2126766829,lock_only,160,47.368,0.542914,0,0.659563,0.95,0.60901,0.334108,0.089987,0.0613705,0.0136153,0.988473,0.2,0.410396
RL hip,M=160,2126766829,both,160,47.368,0.579572,0,,0,0.613147,0.354312,0,0,0.014001,0.990305,0,0.230103
RL hip,M=160,602647351,baseline,160,34.61,1.00308,0,0.996425,0,0.813974,0.815132,0.139829,0.139179,0.0198651,0.990495,0,0.0176059
RL hip,M=160,602647351,freeze_only,160,34.61,0.99669,0,,0,0.813435,0.807166,0,0,0.0197754,0.993525,0,0.0144803
RL hip,M=160,602647351,lock_only,160,34.61,0.712426,0,0.822351,0.6,0.813116,0.577854,0.14044,0.11397,0.0159682,0.95743,0.45,0.67253
RL hip,M=160,602647351,both,160,34.61,0.0355221,0,,0,0.813073,0.0288981,0,0,0.0137588,-0.576277,0.6,0.694899
FR hip,M=1,860896728,baseline,1,37.5,0.992234,0,1.00644,0.15,0.802819,0.796978,3.79064,3.8135,0.0194734,0.993754,0,0.0184458
FR hip,M=1,860896728,freeze_only,1,37.5,-1.78129e-05,0,,0,0.803463,-1.43075e-05,0,0,0.0120822,-0.999871,0.75,0.101898
FR hip,M=1,860896728,lock_only,1,37.5,0.926562,0,0.946232,0.45,0.80325,0.743821,3.77361,3.61001,0.0187745,0.993703,0.05,0.0287924
FR hip,M=1,860896728,both,1,37.5,-5.62985e-05,0,,0,0.801728,-4.51798e-05,0,0,0.0118799,-0.99999,0.9,0.0130079
FR hip,M=1,1396289849,baseline,1,56.25,1.04059,0,0.888738,0.55,0.614688,0.638689,2.68919,2.37174,0.0162905,0.990873,0,0.0853024
FR hip,M=1,1396289849,freeze_only,1,56.25,0.000395274,0,,0,0.616127,0.000239127,0,0,0.0105818,-1,1,0.000856843
FR hip,M=1,1396289849,lock_only,1,56.25,0.000245637,0,0.945026,0.45,0.613804,0.000156095,2.28152,2.132,0.011004,-0.999938,1,0.000519555
FR hip,M=1,1396289849,both,1,56.25,8.52381e-05,0,,0,0.628712,5.09791e-05,0,0,0.0107026,-0.0402261,0.65,0.0215303
FR hip,M=1,1295751242,baseline,1,42.857,0.984436,0,1.00881,0.2,0.707698,0.695698,3.14142,3.17348,0.0177644,0.986494,0,0.0512194
FR hip,M=1,1295751242,freeze_only,1,42.857,0.000139521,0,,0,0.707607,9.76415e-05,0,0,0.0112888,-0.998542,0.8,0.00382755
FR hip,M=1,1295751242,lock_only,1,42.857,0.705114,0,0.918235,0.4,0.703091,0.505714,3.01986,2.79578,0.0152997,0.995316,0,0.0266344
FR hip,M=1,1295751242,both,1,42.857,-0.000620982,0,,0,0.707346,-0.000440035,0,0,0.0110589,-0.0763668,0.65,0.0182515
FR hip,M=1,489225843,baseline,1,52.941,0.981352,0,1.08723,0.2,0.659781,0.642101,2.62522,2.812,0.0166497,0.986115,0,0.10091
FR hip,M=1,489225843,freeze_only,1,52.941,-0.000100201,0,,0,0.643749,-6.38484e-05,0,0,0.0107867,-0.304287,0.7,0.0214717
FR hip,M=1,489225843,lock_only,1,52.941,0.587611,0,1.05038,0.4,0.649875,0.380819,2.30155,2.35939,0.0141197,0.98676,0,0.0825345
FR hip,M=1,489225843,both,1,52.941,0.000488622,0,,0,0.649924,0.000312741,0,0,0.0108169,-0.594029,0.6,0.0413059
FR hip,M=1,2113178504,baseline,1,33.333,0.988849,0,1.00184,0.2,0.612016,0.604344,3.73264,3.73692,0.0168511,0.974978,0,0.0499361
FR hip,M=1,2113178504,freeze_only,1,33.333,0.00201917,0,,0,0.609055,0.00124015,0,0,0.0117915,0.991521,0.15,0.0922968
FR hip,M=1,2113178504,lock_only,1,33.333,-0.0013167,0,0.470642,1,0.609676,-0.000812548,3.63552,1.69933,0.0109306,-0.130555,1,0.000462974
FR hip,M=1,2113178504,both,1,33.333,0.000351917,0,,0,0.610744,0.00021948,0,0,0.011767,0.977843,0.15,0.0501807
FR hip,M=10,617764346,baseline,10,44.999,0.99421,0,1.01139,0,0.761018,0.757545,1.45275,1.47044,0.0193576,0.983918,0,0.0305226
FR hip,M=10,617764346,freeze_only,10,44.999,-0.000210662,0,,0,0.763882,-0.000160954,0,0,0.0119319,-1,0.8,0.245657
FR hip,M=10,617764346,lock_only,10,44.999,0.381717,0,0.882349,0.55,0.764209,0.296048,1.44346,1.23881,0.014864,0.968773,0.4,0.423234
FR hip,M=10,617764346,both,10,44.999,-0.000181436,0,,0,0.762892,-0.000138543,0,0,0.0118928,0.363881,0.5,0.405346
FR hip,M=10,1146876823,baseline,10,29.032,1.02861,0,1.22248,0.15,0.653844,0.676364,0.96962,1.18442,0.0172748,0.996153,0,0.0296842
FR hip,M=10,1146876823,freeze_only,10,29.032,0.0784871,0,,0,0.658255,0.0512761,0,0,0.0115022,0.341138,0.5,0.254155
FR hip,M=10,1146876823,lock_only,10,29.032,0.0274588,0,1.04818,0.3,0.654508,0.0180895,0.95318,1.04756,0.0112451,0.837047,0.3,0.0583978
FR hip,M=10,1146876823,both,10,29.032,0.0479685,0,,0,0.655926,0.0310776,0,0,0.0113503,0.920127,0.05,0.23388
FR hip,M=10,1331919846,baseline,10,30,0.991036,0,1.29612,0.05,0.619301,0.615003,0.891596,1.15003,0.0170583,0.958512,0,0.02904
FR hip,M=10,1331919846,freeze_only,10,30,0.000643971,0,,0,0.618806,0.000396273,0,0,0.0113897,0.98002,0.35,0.319704
FR hip,M=10,1331919846,lock_only,10,30,0.0558836,0,1.13902,0.2,0.620414,0.0343421,0.94904,1.05123,0.0117835,0.883434,0,0.00430793
FR hip,M=10,1331919846,both,10,30,0.0454281,0,,0,0.619303,0.0279999,0,0,0.0116978,0.936006,0.05,0.296065
FR hip,M=10,27294405,baseline,10,31.034,0.999794,0,0.905941,0.45,0.642905,0.642839,1.30651,1.18252,0.0171921,0.993229,0,0.0146269
FR hip,M=10,27294405,freeze_only,10,31.034,0.00190497,0,,0,0.640962,0.00122852,0,0,0.0117049,0.954278,0.05,0.197306
FR hip,M=10,27294405,lock_only,10,31.034,0.649235,0,0.923151,0.25,0.640195,0.417452,1.16702,1.1096,0.0144832,0.989284,0,0.625352
FR hip,M=10,27294405,both,10,31.034,0.0191139,0,,0,0.642167,0.012215,0,0,0.0114661,0.911509,0,0.0851085
FR hip,M=10,689362957,baseline,10,27.2727,1.00567,0,1.00499,0.2,0.60741,0.610171,1.26296,1.26874,0.0161496,0.969876,0,0.0967827
FR hip,M=10,689362957,freeze_only,10,27.2727,0.000277807,0,,0,0.606992,0.000160778,0,0,0.0109054,0.55555,0.5,0.138663
FR hip,M=10,689362957,lock_only,10,27.2727,0.220356,0,0.875273,0.55,0.606827,0.127815,1.23083,1.16992,0.013092,-0.630154,0.6,0.33515
FR hip,M=10,689362957,both,10,27.2727,-0.000104968,0,,0,0.608831,-6.46476e-05,0,0,0.0104789,-0.143827,0.55,0.0326295
FR hip,M=20,1853697842,baseline,20,34.615,0.993279,0,1.01751,0,0.716971,0.714064,1.00536,1.02431,0.0187379,0.990389,0,0.0104173
FR hip,M=20,1853697842,freeze_only,20,34.615,2.4289e-05,0,,0,0.716436,1.74904e-05,0,0,0.0117559,-0.626594,0.8,0.111914
FR hip,M=20,1853697842,lock_only,20,34.615,0.775566,0,0.864578,0.7,0.716704,0.55386,1.00057,0.922721,0.0168041,0.943616,0,0.632026
FR hip,M=20,1853697842,both,20,34.615,-0.000284351,0,,0,0.716931,-0.000203304,0,0,0.0117689,-0.108343,0.7,0.107404
FR hip,M=20,685059270,baseline,20,52.941,0.985355,0,0.994545,0.05,0.682214,0.674015,0.696474,0.69242,0.0177772,0.952874,0,0.0432419
FR hip,M=20,685059270,freeze_only,20,52.941,0.000527241,0,,0,0.685439,0.000357103,0,0,0.0116355,-0.133912,0.6,0.250484
FR hip,M=20,685059270,lock_only,20,52.941,4.44053e-06,0,0.677932,1,0.685294,3.05861e-06,0.695979,0.472887,0.0114785,0.644809,0.45,0.0406343
FR hip,M=20,685059270,both,20,52.941,0.0136893,0,,0,0.682105,0.00928232,0,0,0.0119775,0.901989,0.1,0.211941
FR hip,M=20,1919632181,baseline,20,69.23,1.01118,0,1.00712,0.2,0.587373,0.594083,0.783986,0.788935,0.0169499,0.988655,0,0.0953769
FR hip,M=20,1919632181,freeze_only,20,69.23,0.014345,0,,0,0.586762,0.00826455,0,0,0.0118147,0.975487,0.4,0.277209
FR hip,M=20,1919632181,lock_only,20,69.23,0.624363,0,0.828309,0.65,0.588809,0.379347,0.790804,0.656151,0.0144413,0.979218,0,0.125751
FR hip,M=20,1919632181,both,20,69.23,4.00651e-05,0,,0,0.585786,2.2777e-05,0,0,0.0110921,0.964238,0.35,0.261758
FR hip,M=20,641049713,baseline,20,47.368,0.990965,0,0.991444,0,0.603349,0.596035,0.809714,0.801593,0.0166542,0.973279,0,0.0416175
FR hip,M=20,641049713,freeze_only,20,47.368,-0.000386589,0,,0,0.605084,-0.000228209,0,0,0.0107831,-0.999273,0.85,0.00350101
FR hip,M=20,641049713,lock_only,20,47.368,0.577102,0,0.90694,0.35,0.60857,0.344136,0.783464,0.71101,0.0136336,0.940271,0.3,0.69133
FR hip,M=20,641049713,both,20,47.368,-0.00133079,0,,0,0.602719,-0.00079226,0,0,0.0107547,0.0120214,0.55,0.0080949
FR hip,M=20,1298619277,baseline,20,89.999,0.988958,0,1.04683,0,0.720612,0.714649,0.877467,0.92262,0.0180944,0.981956,0.1,0.0425639
FR hip,M=20,1298619277,freeze_only,20,89.999,0.000396452,0,,0,0.719432,0.000296303,0,0,0.0117594,0.00687671,0.55,0.0142703
FR hip,M=20,1298619277,lock_only,20,89.999,0.91808,0,1.01301,0.25,0.72347,0.676071,0.877331,0.897231,0.0172637,0.972415,0.05,0.459481
FR hip,M=20,1298619277,both,20,89.999,7.81984e-05,0,,0,0.725734,5.81938e-05,0,0,0.0116035,-0.0774043,0.8,0.00393843
FR hip,M=160,576310242,baseline,160,36,0.99679,0,1.02104,0,0.79232,0.789845,0.129579,0.132212,0.0196332,0.994045,0,0.0132925
FR hip,M=160,576310242,freeze_only,160,36,0.987163,0,,0,0.792723,0.781862,0,0,0.0195328,0.997232,0,0.0170852
FR hip,M=160,576310242,lock_only,160,36,0.986684,0,0.983297,0.05,0.792031,0.782652,0.128646,0.12719,0.0190154,0.993376,0,0.0160419
FR hip,M=160,576310242,both,160,36,0.97981,0,,0,0.791847,0.775292,0,0,0.0190061,0.996191,0,0.0140116
FR hip,M=160,756800567,baseline,160,34.615,1.00248,0,0.998915,0,0.796642,0.798844,0.108979,0.108809,0.0196634,0.980034,0,0.00932097
FR hip,M=160,756800567,freeze_only,160,34.615,0.675023,0,,0,0.796319,0.53656,0,0,0.0172997,0.978419,0.05,0.519389
FR hip,M=160,756800567,lock_only,160,34.615,0.166407,0,0.726659,1,0.796595,0.132875,0.107645,0.0774494,0.0132262,-0.143099,0.65,0.332682
FR hip,M=160,756800567,both,160,34.615,1.87054e-05,0,,0,0.796606,1.49804e-05,0,0,0.0126291,-0.122596,0.8,0.159643
FR hip,M=160,1042351053,baseline,160,37.5,1.00026,0,1.01737,0,0.776455,0.776849,0.139773,0.142001,0.0191029,0.993494,0,0.0166942
FR hip,M=160,1042351053,freeze_only,160,37.5,0.988692,0,,0,0.774973,0.766852,0,0,0.0188703,0.979697,0,0.045594
FR hip,M=160,1042351053,lock_only,160,37.5,0.935014,0,0.913601,0.35,0.775403,0.724384,0.140742,0.12717,0.0182591,0.991789,0,0.0118032
FR hip,M=160,1042351053,both,160,37.5,0.915205,0,,0,0.777292,0.705286,0,0,0.0181152,0.991795,0,0.0781689
FR hip,M=160,2126766829,baseline,160,47.368,1.00112,0,1.00311,0,0.61096,0.615152,0.0947502,0.0944259,0.0164929,0.993153,0,0.0491388
FR hip,M=160,2126766829,freeze_only,160,47.368,0.992325,0,,0,0.61471,0.611877,0,0,0.0163388,0.987808,0,0.0470407
FR hip,M=160,2126766829,lock_only,160,47.368,0.00309785,0,0.754673,1,0.60656,0.00188987,0.0898122,0.0675019,0.0108181,0.924421,0,0.00480681
FR hip,M=160,2126766829,both,160,47.368,-0.00271917,0,,0,0.612134,-0.00166307,0,0,0.0110761,0.914347,0,0.00954061
FR hip,M=160,602647351,baseline,160,34.61,1.00597,0,0.996699,0,0.813054,0.816053,0.139805,0.138986,0.0198535,0.989036,0,0.0177763
FR hip,M=160,602647351,freeze_only,160,34.61,0.995588,0,,0,0.81467,0.807534,0,0,0.0197107,0.993444,0,0.0121462
FR hip,M=160,602647351,lock_only,160,34.61,0.96894,0,1.0113,0,0.812331,0.786696,0.140903,0.142481,0.0192066,0.992244,0,0.017244
FR hip,M=160,602647351,both,160,34.61,0.961119,0,,0,0.812865,0.777824,0,0,0.0191511,0.993126,0,0.0337768
RR calf,M=1,860896728,baseline,1,37.5,0.992234,0,1.00644,0.15,0.802819,0.796978,3.79064,3.8135,0.0194734,0.993754,0,0.0184458
RR calf,M=1,860896728,freeze_only,1,37.5,-1.78129e-05,0,,0,0.803463,-1.43075e-05,0,0,0.0120822,-0.999871,0.75,0.101898
RR calf,M=1,860896728,lock_only,1,37.5,0.130274,0,0.859744,0.55,0.802755,0.105191,3.6429,3.16937,0.0125318,0.958238,0.1,0.0400062
RR calf,M=1,860896728,both,1,37.5,-0.000170052,0,,0,0.802389,-0.000136698,0,0,0.0120485,-1,0.8,0.0171493
RR calf,M=1,1396289849,baseline,1,56.25,1.03293,0,1.05174,0.45,0.619311,0.642772,2.28476,2.37925,0.0162402,0.972196,0,0.121929
RR calf,M=1,1396289849,freeze_only,1,56.25,0.000497051,0,,0,0.614912,0.000305868,0,0,0.0106295,-0.999978,1,0.00138802
RR calf,M=1,1396289849,lock_only,1,56.25,0.000624362,0,0.779144,0.95,0.612492,0.000397261,2.39608,1.89008,0.010574,-0.999975,1,0.00155133
RR calf,M=1,1396289849,both,1,56.25,0.00023619,0,,0,0.624827,0.00014214,0,0,0.0104954,-0.999999,1,0.00279238
RR calf,M=1,1295751242,baseline,1,42.857,0.981647,0,1.01076,0.35,0.707816,0.695728,3.14087,3.15094,0.0177553,0.984755,0,0.0514717
RR calf,M=1,1295751242,freeze_only,1,42.857,0.00087687,0,,0,0.702136,0.000616796,0,0,0.0111622,-0.258939,0.7,0.0358816
RR calf,M=1,1295751242,lock_only,1,42.857,0.00253237,0,1.01595,0.1,0.704346,0.00180229,3.3104,3.31407,0.0113064,-0.999491,1,0.000393786
RR calf,M=1,1295751242,both,1,42.857,2.68969e-05,0,,0,0.705721,1.85441e-05,0,0,0.0111957,-1,0.9,0.0373417
RR calf,M=1,489225843,baseline,1,52.941,0.981819,0,1.04178,0.3,0.653818,0.638948,2.67323,2.78492,0.0166727,0.981558,0,0.0870718
RR calf,M=1,489225843,freeze_only,1,52.941,0.000252924,0,,0,0.651549,0.000165168,0,0,0.0108125,-0.999435,0.75,0.00386191
RR calf,M=1,489225843,lock_only,1,52.941,-0.000354198,0,0.725149,0.8,0.663374,-0.000235987,2.79861,2.05657,0.0105806,-0.99955,0.95,0.00144341
RR calf,M=1,489225843,both,1,52.941,0.000515304,0,,0,0.650342,0.000333784,0,0,0.0106046,0.924974,0.45,0.0102292
RR calf,M=1,2113178504,baseline,1,33.333,0.985285,0,0.974025,0.25,0.611362,0.604374,3.85462,3.74271,0.0168734,0.977811,0,0.0605026
RR calf,M=1,2113178504,freeze_only,1,33.333,0.00147682,0,,0,0.60817,0.000923182,0,0,0.0118135,0.986388,0.05,0.0497298
RR calf,M=1,2113178504,lock_only,1,33.333,-0.00253243,0,0.533962,0.9,0.610425,-0.00156193,3.67382,1.91242,0.0108444,-0.0515414,1,0.00258705
RR calf,M=1,2113178504,both,1,33.333,2.45277e-05,0,,0,0.609819,1.51911e-05,0,0,0.0111835,0.867607,0.45,0.00464558
RR calf,M=10,617764346,baseline,10,44.999,0.994297,0,1.00745,0,0.761322,0.757547,1.45891,1.47014,0.0193605,0.983671,0,0.0329995
RR calf,M=10,617764346,freeze_only,10,44.999,3.54379e-06,0,,0,0.762824,2.58897e-06,0,0,0.011918,-0.107269,0.75,0.194277
RR calf,M=10,617764346,lock_only,10,44.999,-0.000175217,0,1.00578,0.1,0.765188,-0.000133434,1.41917,1.43962,0.0122316,-0.999959,1,0.000364342
RR calf,M=10,617764346,both,10,44.999,-6.04796e-05,0,,0,0.760452,-4.58854e-05,0,0,0.0119975,-1,0.9,0.000749031
