site,group,network,cell,M,T_gait_steps,retention,retention_flagged,conv_ratio,fraction_converged,v_pre,v_post,dW_early,dW_late,mean_reward,final_upright,fallen_fraction,retention_phase_range
RR calf,M=10,1146876823,baseline,10,29.032,1.0297,0,1.20497,0.15,0.657253,0.677567,0.984428,1.18399,0.017357,0.995574,0,0.0299544
RR calf,M=10,1146876823,freeze_only,10,29.032,0.0103587,0,,0,0.6576,0.000740276,0,0,0.0111656,-0.584177,0.6,0.404549
RR calf,M=10,1146876823,lock_only,10,29.032,-0.000795698,0,1.16647,0.3,0.655805,-0.000526357,0.954854,1.10238,0.0108835,-0.345879,0.9,0.00162766
RR calf,M=10,1146876823,both,10,29.032,-0.000841904,0,,0,0.654767,-0.000549374,0,0,0.0108108,-0.563827,0.9,0.000612351
RR calf,M=10,1331919846,baseline,10,30,0.992655,0,1.31363,0,0.618914,0.615182,0.87673,1.1505,0.0170255,0.965496,0,0.0276729
RR calf,M=10,1331919846,freeze_only,10,30,0.0141205,0,,0,0.617633,0.0089078,0,0,0.0116037,0.987547,0.25,0.301909
RR calf,M=10,1331919846,lock_only,10,30,0.000313735,0,1.12593,0.2,0.62183,0.000197113,0.937116,1.05847,0.0106918,-0.999978,1,0.000320501
RR calf,M=10,1331919846,both,10,30,-4.97345e-05,0,,0,0.619834,-3.16346e-05,0,0,0.0106857,-0.999941,0.8,0.0131857
RR calf,M=10,27294405,baseline,10,31.034,1.00123,0,0.897264,0.55,0.640942,0.642855,1.31165,1.17921,0.0171793,0.99175,0,0.0124378
RR calf,M=10,27294405,freeze_only,10,31.034,0.0238233,0,,0,0.641237,0.0152856,0,0,0.0117709,0.947903,0.1,0.200446
RR calf,M=10,27294405,lock_only,10,31.034,0.145414,0,0.658254,0.9,0.641101,0.093556,1.17299,0.768948,0.0123236,0.986936,0,0.0168194
RR calf,M=10,27294405,both,10,31.034,-0.000263245,0,,0,0.642482,-0.000170791,0,0,0.0115968,0.944343,0.3,0.0464872
RR calf,M=10,689362957,baseline,10,27.2727,0.99683,0,1.00673,0.25,0.611214,0.612246,1.26105,1.26878,0.0161849,0.980003,0,0.105775
RR calf,M=10,689362957,freeze_only,10,27.2727,-0.000530423,0,,0,0.610328,-0.000316442,0,0,0.0102271,-0.999367,0.65,0.224969
RR calf,M=10,689362957,lock_only,10,27.2727,-0.000147264,0,0.773865,0.6,0.612089,-9.10616e-05,1.3358,1.03449,0.0102591,-1,1,6.04973e-05
RR calf,M=10,689362957,both,10,27.2727,-0.000485568,0,,0,0.611799,-0.000294594,0,0,0.0101844,-0.999446,0.75,0.00882186
RR calf,M=20,1853697842,baseline,20,34.615,0.995191,0,1.01856,0,0.715787,0.713441,1.00614,1.02389,0.0187359,0.992665,0,0.0144319
RR calf,M=20,1853697842,freeze_only,20,34.615,-0.000213074,0,,0,0.716957,-0.000152136,0,0,0.0117391,-0.199132,0.75,0.0855184
RR calf,M=20,1853697842,lock_only,20,34.615,0.000631799,0,0.731085,1,0.715891,0.000449664,0.978458,0.716741,0.0118596,-0.621727,0.65,0.0624274
RR calf,M=20,1853697842,both,20,34.615,-0.000524756,0,,0,0.715793,-0.000376368,0,0,0.0116529,-0.999896,1,0.00055527
RR calf,M=20,685059270,baseline,20,52.941,0.986639,0,1.00523,0.1,0.680523,0.672881,0.688298,0.69184,0.0177734,0.964755,0,0.0393853
RR calf,M=20,685059270,freeze_only,20,52.941,4.17669e-05,0,,0,0.685772,2.80145e-05,0,0,0.0115807,-0.999348,0.7,0.181951
RR calf,M=20,685059270,lock_only,20,52.941,-8.37984e-05,0,0.66012,1,0.685041,-5.89913e-05,0.663437,0.449722,0.0113961,-1,0.8,0.017467
RR calf,M=20,685059270,both,20,52.941,-0.000228184,0,,0,0.68063,-0.000155805,0,0,0.0112576,-0.264268,0.6,0.00982675
RR calf,M=20,1919632181,baseline,20,69.23,1.01053,0,1.03894,0.2,0.58718,0.593138,0.758756,0.788353,0.016958,0.988556,0,0.0855289
RR calf,M=20,1919632181,freeze_only,20,69.23,0.0304571,0,,0,0.588952,0.017502,0,0,0.0114236,0.982516,0.45,0.314917
RR calf,M=20,1919632181,lock_only,20,69.23,0.00604451,0,0.658732,0.85,0.588334,0.00374644,0.763436,0.561618,0.0120093,0.887992,0.45,0.0661708
RR calf,M=20,1919632181,both,20,69.23,1.83837e-05,0,,0,0.588821,1.67276e-05,0,0,0.0108676,-0.99976,0.7,0.0859277
RR calf,M=20,641049713,baseline,20,47.368,0.980816,0,0.994762,0,0.608033,0.594549,0.804419,0.801334,0.0166124,0.982081,0,0.0535066
RR calf,M=20,641049713,freeze_only,20,47.368,0.000309136,0,,0,0.606521,0.000185482,0,0,0.0107801,-0.998962,0.7,0.0314443
RR calf,M=20,641049713,lock_only,20,47.368,0.213308,0,0.956976,0,0.610695,0.129504,0.812363,0.774743,0.0116251,0.964009,0,0.0110507
RR calf,M=20,641049713,both,20,47.368,-0.00120845,0,,0,0.607686,-0.00073158,0,0,0.0107601,0.881006,0.45,0.0428251
RR calf,M=20,1298619277,baseline,20,89.999,0.992106,0,1.04333,0.1,0.721342,0.714845,0.88092,0.922449,0.0180573,0.978829,0.05,0.0375587
RR calf,M=20,1298619277,freeze_only,20,89.999,0.000472664,0,,0,0.718408,0.000353906,0,0,0.0116774,-1,0.65,0.0156638
RR calf,M=20,1298619277,lock_only,20,89.999,0.0570391,0,0.627122,1,0.722271,0.0415161,0.823495,0.537807,0.0121066,0.905905,0.35,0.0896573
RR calf,M=20,1298619277,both,20,89.999,-9.31479e-06,0,,0,0.727399,-7.16285e-06,0,0,0.0116391,-0.124756,0.7,0.014489
RR calf,M=160,576310242,baseline,160,36,0.995664,0,1.01548,0,0.791586,0.789584,0.129958,0.132197,0.0196311,0.99496,0,0.014872
RR calf,M=160,576310242,freeze_only,160,36,0.986014,0,,0,0.791762,0.783284,0,0,0.019556,0.997281,0,0.0127155
RR calf,M=160,576310242,lock_only,160,36,-0.00330714,0,0.813762,0.9,0.791619,-0.002627,0.122772,0.101736,0.0120582,-0.188619,1,0.00302093
RR calf,M=160,576310242,both,160,36,-0.00220771,0,,0,0.792537,-0.00175716,0,0,0.0119848,-0.136339,0.9,0.035587
RR calf,M=160,756800567,baseline,160,34.615,1.00204,0,1.00481,0,0.796197,0.797995,0.108342,0.108747,0.0196742,0.984279,0,0.0102879
RR calf,M=160,756800567,freeze_only,160,34.615,0.815683,0,,0,0.796324,0.649254,0,0,0.017362,0.966682,0.05,0.37786
RR calf,M=160,756800567,lock_only,160,34.615,-0.000141008,0,0.64095,1,0.796818,-0.000111916,0.108775,0.069309,0.0119366,-1,1,0.000269597
RR calf,M=160,756800567,both,160,34.615,0.000180964,0,,0,0.79647,0.000144464,0,0,0.0121115,-1,1,0.00229206
RR calf,M=160,1042351053,baseline,160,37.5,1.00296,0,1.0034,0,0.773239,0.777639,0.141512,0.141966,0.0190954,0.990154,0,0.0137408
RR calf,M=160,1042351053,freeze_only,160,37.5,0.985997,0,,0,0.775266,0.759638,0,0,0.0188313,0.990469,0,0.0721169
RR calf,M=160,1042351053,lock_only,160,37.5,-0.000699428,0,0.666614,1,0.77746,-0.000544187,0.130997,0.0835791,0.0119575,-0.999872,1,0.00892283
RR calf,M=160,1042351053,both,160,37.5,-0.000122249,0,,0,0.776786,-9.52685e-05,0,0,0.0121235,-1,1,0.000213066
RR calf,M=160,2126766829,baseline,160,47.368,0.990701,0,0.985564,0.05,0.617901,0.613491,0.0954176,0.0942137,0.0165903,0.992033,0,0.0436442
RR calf,M=160,2126766829,freeze_only,160,47.368,0.992042,0,,0,0.615075,0.608205,0,0,0.0164078,0.987439,0,0.0417671
RR calf,M=160,2126766829,lock_only,160,47.368,-0.00169342,0,0.713079,0.95,0.614056,-0.00104129,0.0904401,0.0649782,0.0104954,-0.0797355,1,0.0017663
RR calf,M=160,2126766829,both,160,47.368,-0.000136883,0,,0,0.612084,-8.26583e-05,0,0,0.0104597,-0.129975,1,0.00100199
RR calf,M=160,602647351,baseline,160,34.61,1.00428,0,0.99527,0,0.813627,0.815898,0.13879,0.13896,0.0198686,0.988273,0,0.0210984
RR calf,M=160,602647351,freeze_only,160,34.61,0.996761,0,,0,0.81363,0.808069,0,0,0.0197506,0.993554,0,0.010452
RR calf,M=160,602647351,lock_only,160,34.61,0.00258142,0,0.526738,1,0.812905,0.00208704,0.135747,0.0718752,0.0123506,0.982806,0,0.0274056
RR calf,M=160,602647351,both,160,34.61,-0.0277054,0,,0,0.81238,-0.0224029,0,0,0.0114553,0.93985,0,0.0888451
FL calf,M=1,860896728,baseline,1,37.5,0.992234,0,1.00644,0.15,0.802819,0.796978,3.79064,3.8135,0.0194734,0.993754,0,0.0184458
FL calf,M=1,860896728,freeze_only,1,37.5,-1.78129e-05,0,,0,0.803463,-1.43075e-05,0,0,0.0120822,-0.999871,0.75,0.101898
FL calf,M=1,860896728,lock_only,1,37.5,0.153196,0,0.933372,0.3,0.801525,0.122335,3.51768,3.2607,0.013331,-0.999675,0.65,0.321929
FL calf,M=1,860896728,both,1,37.5,-5.52262e-06,0,,0,0.801531,-4.37412e-06,0,0,0.0120259,-0.999908,0.8,0.0613827
FL calf,M=1,1396289849,baseline,1,56.25,1.03762,0,1.01268,0.45,0.617114,0.640455,2.37392,2.37659,0.0162622,0.983601,0,0.107684
FL calf,M=1,1396289849,freeze_only,1,56.25,0.000580893,0,,0,0.623687,0.00035192,0,0,0.0106506,-0.999848,0.95,0.00160677
FL calf,M=1,1396289849,lock_only,1,56.25,0.360401,0,0.9277,0.4,0.60473,0.220839,2.27424,2.17354,0.0120685,0.955767,0.4,0.414828
FL calf,M=1,1396289849,both,1,56.25,0.000350821,0,,0,0.625201,0.00022346,0,0,0.0105376,-0.999467,0.85,0.00329851
FL calf,M=1,1295751242,baseline,1,42.857,0.984132,0,1.00368,0.25,0.70753,0.695781,3.15024,3.16058,0.0178017,0.986068,0,0.0336909
FL calf,M=1,1295751242,freeze_only,1,42.857,1.4746e-05,0,,0,0.702677,1.03507e-05,0,0,0.0112442,-1,0.75,0.00395314
FL calf,M=1,1295751242,lock_only,1,42.857,0.958,0,0.98769,0.25,0.703834,0.671689,3.05885,3.04647,0.0170414,0.984498,0,0.0506464
FL calf,M=1,1295751242,both,1,42.857,0.000139064,0,,0,0.705973,9.63354e-05,0,0,0.0111466,-1,1,0.00141363
FL calf,M=1,489225843,baseline,1,52.941,0.982696,0,0.95986,0.3,0.649147,0.635434,2.93729,2.80008,0.0166802,0.98777,0,0.0833187
FL calf,M=1,489225843,freeze_only,1,52.941,-4.02398e-05,0,,0,0.645514,-2.53578e-05,0,0,0.0109097,-0.624333,0.65,0.00478363
FL calf,M=1,489225843,lock_only,1,52.941,0.175122,0,0.788866,0.65,0.650992,0.119975,2.60156,2.08529,0.01242,0.979252,0,0.170662
FL calf,M=1,489225843,both,1,52.941,-0.00130057,0,,0,0.662686,-0.000870538,0,0,0.010764,-0.0267966,0.65,0.00749412
FL calf,M=1,2113178504,baseline,1,33.333,0.984312,0,0.971207,0.3,0.614622,0.605069,3.85439,3.74341,0.0168576,0.976733,0,0.053247
FL calf,M=1,2113178504,freeze_only,1,33.333,0.000658345,0,,0,0.610238,0.000401294,0,0,0.0117974,0.992567,0.15,0.112913
FL calf,M=1,2113178504,lock_only,1,33.333,-0.000696572,0,0.531482,1,0.609243,-0.000428796,3.76994,1.9517,0.0107936,-1,1,0.00024447
FL calf,M=1,2113178504,both,1,33.333,-0.000188979,0,,0,0.609969,-0.000115116,0,0,0.0108022,0.889899,0.3,0.00270644
FL calf,M=10,617764346,baseline,10,44.999,0.993251,0,1.01076,0,0.76202,0.757495,1.45419,1.47005,0.0193598,0.984163,0,0.0311608
FL calf,M=10,617764346,freeze_only,10,44.999,-6.54012e-05,0,,0,0.761547,-4.9452e-05,0,0,0.0119467,-0.180616,0.75,0.300934
FL calf,M=10,617764346,lock_only,10,44.999,0.858823,0,0.974897,0,0.763021,0.656965,1.48086,1.44109,0.0178593,0.989499,0,0.0224999
FL calf,M=10,617764346,both,10,44.999,3.09875e-05,0,,0,0.761602,2.34602e-05,0,0,0.0121621,-1,0.9,0.090276
FL calf,M=10,1146876823,baseline,10,29.032,1.02407,0,1.19574,0.15,0.656971,0.673653,0.994206,1.18623,0.0173119,0.99287,0,0.0209401
FL calf,M=10,1146876823,freeze_only,10,29.032,0.0706454,0,,0,0.657109,0.0461388,0,0,0.0115597,0.432665,0.5,0.286614
FL calf,M=10,1146876823,lock_only,10,29.032,-0.00079667,0,0.980643,0.3,0.658105,-0.000519993,1.08586,1.06073,0.0107851,-0.999975,1,0.000515999
FL calf,M=10,1146876823,both,10,29.032,-0.00104554,0,,0,0.654976,-0.000684358,0,0,0.0108415,-0.182664,0.7,0.0974107
FL calf,M=10,1331919846,baseline,10,30,0.989475,0,1.24532,0.05,0.620681,0.61507,0.926561,1.15124,0.0170538,0.96303,0,0.0329741
FL calf,M=10,1331919846,freeze_only,10,30,0.000944411,0,,0,0.617532,0.00017461,0,0,0.0114658,0.930537,0.3,0.312394
FL calf,M=10,1331919846,lock_only,10,30,0.000284601,0,1.22967,0.1,0.622815,0.000175344,0.948821,1.10901,0.0108931,-0.999776,0.85,0.0562258
FL calf,M=10,1331919846,both,10,30,7.38246e-05,0,,0,0.619818,4.51241e-05,0,0,0.0112833,0.973849,0.25,0.221661
FL calf,M=10,27294405,baseline,10,31.034,1.00307,0,0.903064,0.45,0.64183,0.643685,1.30861,1.18186,0.0171739,0.993125,0,0.0111668
FL calf,M=10,27294405,freeze_only,10,31.034,-0.00026395,0,,0,0.642337,-0.000169954,0,0,0.011747,0.950811,0.1,0.210993
FL calf,M=10,27294405,lock_only,10,31.034,-5.78465e-05,0,0.788421,0.75,0.642323,-3.75363e-05,1.23786,0.9857,0.0109137,0.778879,0.4,0.0389944
FL calf,M=10,27294405,both,10,31.034,-0.00183105,0,,0,0.642411,-0.00118013,0,0,0.0115102,0.936352,0.3,0.18802
FL calf,M=10,689362957,baseline,10,27.2727,1.00805,0,1.03811,0.1,0.606183,0.612298,1.22354,1.26933,0.0161653,0.975824,0,0.0951345
FL calf,M=10,689362957,freeze_only,10,27.2727,-0.000190105,0,,0,0.608967,-0.000115432,0,0,0.0103888,-0.16133,0.6,0.186105
FL calf,M=10,689362957,lock_only,10,27.2727,-2.71593e-06,0,0.842848,0.65,0.61133,-3.20718e-06,1.23778,1.02043,0.0108345,-1,0.9,0.118916
FL calf,M=10,689362957,both,10,27.2727,-0.00109229,0,,0,0.610239,-0.000655125,0,0,0.0101795,-0.998969,1,0.00218049
FL calf,M=20,1853697842,baseline,20,34.615,0.992619,0,1.01485,0,0.718327,0.71453,1.0077,1.02387,0.0187537,0.99246,0,0.0157531
FL calf,M=20,1853697842,freeze_only,20,34.615,-0.000483968,0,,0,0.717419,-0.000346387,0,0,0.0117379,-0.59253,0.8,0.109544
FL calf,M=20,1853697842,lock_only,20,34.615,0.38748,0,0.815623,1,0.716304,0.279283,0.989998,0.803351,0.0135789,0.979897,0.25,0.293762
FL calf,M=20,1853697842,both,20,34.615,-0.000425732,0,,0,0.716313,-0.000307195,0,0,0.0116517,-0.999998,1,0.000978071
FL calf,M=20,685059270,baseline,20,52.941,0.988608,0,0.999158,0.1,0.679454,0.67426,0.692293,0.691824,0.0177882,0.951494,0,0.0447472
FL calf,M=20,685059270,freeze_only,20,52.941,-4.64167e-05,0,,0,0.683939,-3.2468e-05,0,0,0.011594,-0.451606,0.7,0.08489
FL calf,M=20,685059270,lock_only,20,52.941,0.00335529,0,0.460735,1,0.685398,0.00227451,0.690146,0.310629,0.0112784,0.71224,0.3,0.108605
FL calf,M=20,685059270,both,20,52.941,-2.22969e-05,0,,0,0.681261,-3.28812e-05,0,0,0.0110553,-0.998441,0.6,0.00727348
FL calf,M=20,1919632181,baseline,20,69.23,1.00733,0,1.01307,0.25,0.588342,0.59421,0.779044,0.788469,0.0169607,0.982948,0,0.0918587
FL calf,M=20,1919632181,freeze_only,20,69.23,0.0178812,0,,0,0.589937,0.0102833,0,0,0.011591,0.963478,0.4,0.297532
FL calf,M=20,1919632181,lock_only,20,69.23,-0.00107594,0,0.905985,0.45,0.588052,-0.000668522,0.755406,0.673493,0.0110139,-1,1,0.000885408
FL calf,M=20,1919632181,both,20,69.23,0.0236364,0,,0,0.587283,0.0135609,0,0,0.0117396,0.964444,0.35,0.304007
FL calf,M=20,641049713,baseline,20,47.368,0.97257,0,0.979175,0,0.610329,0.597413,0.818056,0.800885,0.0166031,0.981303,0,0.0328836
FL calf,M=20,641049713,freeze_only,20,47.368,-0.000424681,0,,0,0.607477,-0.000260772,0,0,0.0108384,-0.99993,0.8,0.0195231
FL calf,M=20,641049713,lock_only,20,47.368,-0.000621668,0,0.712567,1,0.609596,-0.000376209,0.780502,0.551864,0.0106097,-1,1,0.00041608
FL calf,M=20,641049713,both,20,47.368,-0.00159902,0,,0,0.603988,-0.000895615,0,0,0.0106929,-0.999847,0.8,0.00131063
FL calf,M=20,1298619277,baseline,20,89.999,0.992293,0,1.04577,0,0.718892,0.715114,0.880609,0.923718,0.0181105,0.979593,0.1,0.0474246
FL calf,M=20,1298619277,freeze_only,20,89.999,0.000336678,0,,0,0.719519,0.000251975,0,0,0.011612,-0.0951517,0.6,0.0379835
FL calf,M=20,1298619277,lock_only,20,89.999,0.000131043,0,0.843646,0.85,0.720583,9.41582e-05,0.893432,0.745373,0.0117996,0.74167,0.45,0.253405
FL calf,M=20,1298619277,both,20,89.999,-5.50566e-05,0,,0,0.728777,-3.94619e-05,0,0,0.0116389,-1,0.8,0.0028393
FL calf,M=160,576310242,baseline,160,36,0.99619,0,1.00792,0,0.791667,0.789069,0.131424,0.131917,0.0196429,0.995911,0,0.0141683
FL calf,M=160,576310242,freeze_only,160,36,0.987394,0,,0,0.792751,0.784113,0,0,0.0195302,0.997369,0,0.0127391
FL calf,M=160,576310242,lock_only,160,36,0.489914,0,0.81075,0.8,0.791659,0.387512,0.127389,0.103521,0.0141385,0.980889,0,0.0706193
FL calf,M=160,576310242,both,160,36,0.430994,0,,0,0.79241,0.339624,0,0,0.0141959,0.981169,0,0.105825
FL calf,M=160,756800567,baseline,160,34.615,1.00315,0,1.00182,0,0.796033,0.798797,0.108784,0.108728,0.0196599,0.983165,0,0.0104915
FL calf,M=160,756800567,freeze_only,160,34.615,0.703364,0,,0,0.795906,0.559783,0,0,0.0171777,0.964498,0.1,0.66265
FL calf,M=160,756800567,lock_only,160,34.615,0.423195,0,0.619879,1,0.795769,0.337041,0.104456,0.0621441,0.0141296,0.984518,0,0.0363249
FL calf,M=160,756800567,both,160,34.615,0.530497,0,,0,0.796157,0.423308,0,0,0.0146959,0.988431,0,0.0900626
FL calf,M=160,1042351053,baseline,160,37.5,0.999034,0,1.013,0,0.777418,0.776354,0.140247,0.142257,0.0190956,0.995854,0,0.019338
FL calf,M=160,1042351053,freeze_only,160,37.5,0.985568,0,,0,0.776708,0.765396,0,0,0.0188743,0.991081,0,0.0388276
FL calf,M=160,1042351053,lock_only,160,37.5,0.000284862,0,0.83055,0.65,0.776079,0.000221679,0.125346,0.106028,0.0117456,-0.999875,1,0.00575149
FL calf,M=160,1042351053,both,160,37.5,-0.000189966,0,,0,0.778154,-0.000146267,0,0,0.0117227,-0.299404,0.95,0.0146159
FL calf,M=160,2126766829,baseline,160,47.368,0.997474,0,1.02738,0.05,0.613553,0.613616,0.0920727,0.0945186,0.0165758,0.989842,0,0.0423326
FL calf,M=160,2126766829,freeze_only,160,47.368,0.979119,0,,0,0.61535,0.607313,0,0,0.016328,0.988081,0,0.0556344
FL calf,M=160,2126766829,lock_only,160,47.368,-0.000340862,0,0.836372,0.8,0.612415,-0.000207503,0.0886453,0.0749552,0.0108418,-1,1,0.0128204
FL calf,M=160,2126766829,both,160,47.368,0.000815369,0,,0,0.612658,0.00050193,0,0,0.0111723,-0.995284,0.55,0.232316
FL calf,M=160,602647351,baseline,160,34.61,1.00289,0,0.996162,0,0.81405,0.8152,0.138906,0.139015,0.019858,0.989035,0,0.0153547
FL calf,M=160,602647351,freeze_only,160,34.61,0.994415,0,,0,0.813838,0.807074,0,0,0.0197871,0.993309,0,0.0121027
FL calf,M=160,602647351,lock_only,160,34.61,-2.21886e-05,0,0.707432,1,0.813383,-1.81229e-05,0.134473,0.0949482,0.0122329,-1,1,0.00160218
FL calf,M=160,602647351,both,160,34.61,0.000216328,0,,0,0.812193,0.000176882,0,0,0.0121978,-1,1,0.00378302
