site,group,network,M,R_baseline,R_freeze_only,R_lock_only,R_both,cost_plastic,cost_frozen,interaction
RR calf,M=10,1331919846,10,0.992655,0.0141205,0.000313735,-4.97345e-05,-0.992341,-0.0141702,-0.978171
RR calf,M=10,27294405,10,1.00123,0.0238233,0.145414,-0.000263245,-0.855814,-0.0240865,-0.831728
RR calf,M=10,689362957,10,0.99683,-0.000530423,-0.000147264,-0.000485568,-0.996977,4.48554e-05,-0.997022
RR calf,M=20,1853697842,20,0.995191,-0.000213074,0.000631799,-0.000524756,-0.994559,-0.000311681,-0.994247
RR calf,M=20,685059270,20,0.986639,4.17669e-05,-8.37984e-05,-0.000228184,-0.986723,-0.000269951,-0.986453
RR calf,M=20,1919632181,20,1.01053,0.0304571,0.00604451,1.83837e-05,-1.00449,-0.0304387,-0.974048
RR calf,M=20,641049713,20,0.980816,0.000309136,0.213308,-0.00120845,-0.767508,-0.00151758,-0.76599
RR calf,M=20,1298619277,20,0.992106,0.000472664,0.0570391,-9.31479e-06,-0.935066,-0.000481979,-0.934584
RR calf,M=160,576310242,160,0.995664,0.986014,-0.00330714,-0.00220771,-0.998971,-0.988222,-0.0107495
RR calf,M=160,756800567,160,1.00204,0.815683,-0.000141008,0.000180964,-1.00218,-0.815502,-0.186679
RR calf,M=160,1042351053,160,1.00296,0.985997,-0.000699428,-0.000122249,-1.00366,-0.98612,-0.0175436
RR calf,M=160,2126766829,160,0.990701,0.992042,-0.00169342,-0.000136883,-0.992394,-0.992179,-0.000215609
RR calf,M=160,602647351,160,1.00428,0.996761,0.00258142,-0.0277054,-1.0017,-1.02447,0.0227665
FL calf,M=1,860896728,1,0.992234,-1.78129e-05,0.153196,-5.52262e-06,-0.839038,1.22902e-05,-0.83905
FL calf,M=1,1396289849,1,1.03762,0.000580893,0.360401,0.000350821,-0.677214,-0.000230073,-0.676984
FL calf,M=1,1295751242,1,0.984132,1.4746e-05,0.958,0.000139064,-0.0261326,0.000124318,-0.026257
FL calf,M=1,489225843,1,0.982696,-4.02398e-05,0.175122,-0.00130057,-0.807574,-0.00126033,-0.806313
FL calf,M=1,2113178504,1,0.984312,0.000658345,-0.000696572,-0.000188979,-0.985009,-0.000847323,-0.984161
FL calf,M=10,617764346,10,0.993251,-6.54012e-05,0.858823,3.09875e-05,-0.134428,9.63887e-05,-0.134525
FL calf,M=10,1146876823,10,1.02407,0.0706454,-0.00079667,-0.00104554,-1.02486,-0.0716909,-0.953174
FL calf,M=10,1331919846,10,0.989475,0.000944411,0.000284601,7.38246e-05,-0.98919,-0.000870586,-0.98832
