group,label,f_gait_hz,T_gait_s,T_gait_steps,f_peak_vx_hz,fz_fv_ratio,gait_type,duration_s,freq_resolution_hz
other,M=10_1146876823,0.2777777777777778,3.5999999999999996,179.99999999999997,0.2777777777777778,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=10_1331919846,0.7777777777777777,1.2857142857142858,64.28571428571429,0.7777777777777777,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=10_27294405,0.7222222222222222,1.3846153846153846,69.23076923076923,0.611111111111111,1.1818181818181819,unclassified,18.0,0.05555555555555555
other,M=10_617764346,1.2777777777777777,0.782608695652174,39.130434782608695,2.2222222222222223,0.575,trot (v_x at twice the stride rate),18.0,0.05555555555555555
other,M=160_1042351053,1.3333333333333333,0.75,37.5,1.3333333333333333,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=160_2126766829,1.2777777777777777,0.782608695652174,39.130434782608695,1.2777777777777777,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=160_576310242,1.3888888888888888,0.72,36.0,1.3888888888888888,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=160_602647351,1.4444444444444444,0.6923076923076923,34.61538461538461,1.4444444444444444,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=160_756800567,1.3888888888888888,0.72,36.0,1.3888888888888888,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=1_1295751242,1.5,0.6666666666666666,33.33333333333333,0.6666666666666666,2.25,unclassified,18.0,0.05555555555555555
other,M=1_1396289849,0.6666666666666666,1.5,75.0,0.8888888888888888,0.75,unclassified,18.0,0.05555555555555555
other,M=1_489225843,0.4444444444444444,2.25,112.5,0.7222222222222222,0.6153846153846153,unclassified,18.0,0.05555555555555555
other,M=1_860896728,1.3888888888888888,0.72,36.0,1.3888888888888888,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=20_1853697842,1.1666666666666665,0.8571428571428572,42.85714285714286,1.2777777777777777,0.9130434782608695,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=20_1919632181,0.8888888888888888,1.125,56.25,0.8888888888888888,1.0,lunge (z and v_x in step),18.0,0.05555555555555555
other,M=20_641049713,1.0555555555555556,0.9473684210526315,47.368421052631575,0.7777777777777777,1.3571428571428574,unclassified,18.0,0.05555555555555555
other,M=20_685059270,1.5,0.6666666666666666,33.33333333333333,0.7777777777777777,1.9285714285714288,CHECK: z may track half-strides,18.0,0.05555555555555555
